"date","value"
"2000-01-01",165.3
"2000-02-01",166.1
"2000-03-01",166.4
"2000-04-01",166.6
"2000-05-01",167.4
"2000-06-01",167.5
"2000-07-01",168.5
"2000-08-01",169
"2000-09-01",169.1
"2000-10-01",169
"2000-11-01",169.2
"2000-12-01",170.2
"2001-01-01",170.4
"2001-02-01",171.6
"2001-03-01",172.1
"2001-04-01",172.5
"2001-05-01",172.8
"2001-06-01",173.5
"2001-07-01",174
"2001-08-01",174.4
"2001-09-01",174.4
"2001-10-01",175.1
"2001-11-01",175.1
"2001-12-01",174.7
"2002-01-01",175.4
"2002-02-01",175.7
"2002-03-01",176.2
"2002-04-01",176.7
"2002-05-01",175.5
"2002-06-01",175.2
"2002-07-01",175.3
"2002-08-01",175.1
"2002-09-01",175.4
"2002-10-01",175
"2002-11-01",175.7
"2002-12-01",175.9
"2003-01-01",176
"2003-02-01",177.2
"2003-03-01",177.5
"2003-04-01",177.6
"2003-05-01",177.9
"2003-06-01",179.2
"2003-07-01",179
"2003-08-01",180
"2003-09-01",180.5
"2003-10-01",181.4
"2003-11-01",182.7
"2003-12-01",183.9
"2004-01-01",183.3
"2004-02-01",183.7
"2004-03-01",184.1
"2004-04-01",184.3
"2004-05-01",186.6
"2004-06-01",187
"2004-07-01",187.2
"2004-08-01",187
"2004-09-01",186.4
"2004-10-01",187.7
"2004-11-01",188.6
"2004-12-01",188.4
"2005-01-01",188.1
"2005-02-01",187.7
"2005-03-01",188.1
"2005-04-01",190
"2005-05-01",190.2
"2005-06-01",189.6
"2005-07-01",190
"2005-08-01",189.8
"2005-09-01",190.2
"2005-10-01",190.6
"2005-11-01",191.4
"2005-12-01",191.7
"2006-01-01",192.5
"2006-02-01",192.2
"2006-03-01",192.3
"2006-04-01",191.8
"2006-05-01",191.8
"2006-06-01",192.4
"2006-07-01",192.8
"2006-08-01",193.4
"2006-09-01",194.3
"2006-10-01",194.8
"2006-11-01",194.6
"2006-12-01",194.4
"2007-01-01",195.918
"2007-02-01",197.735
"2007-03-01",198.816
"2007-04-01",199.25
"2007-05-01",200.237
"2007-06-01",201.151
"2007-07-01",201.596
"2007-08-01",202.338
"2007-09-01",203.3
"2007-10-01",204.081
"2007-11-01",205.119
"2007-12-01",205.503
"2008-01-01",207.1
"2008-02-01",207.854
"2008-03-01",208.093
"2008-04-01",210.897
"2008-05-01",211.8
"2008-06-01",213.331
"2008-07-01",216.028
"2008-08-01",217.449
"2008-09-01",218.757
"2008-10-01",219.532
"2008-11-01",219.662
"2008-12-01",219.163
"2009-01-01",218.953
"2009-02-01",217.93
"2009-03-01",216.949
"2009-04-01",215.807
"2009-05-01",215.064
"2009-06-01",214.953
"2009-07-01",214.047
"2009-08-01",213.769
"2009-09-01",213.299
"2009-10-01",213.472
"2009-11-01",213.383
"2009-12-01",213.839
"2010-01-01",214.738
"2010-02-01",214.728
"2010-03-01",215.55
"2010-04-01",215.721
"2010-05-01",215.717
"2010-06-01",215.476
"2010-07-01",215.451
"2010-08-01",215.361
"2010-09-01",216.166
"2010-10-01",216.534
"2010-11-01",217.105
"2010-12-01",217.419
"2011-01-01",219.251
"2011-02-01",220.732
"2011-03-01",223.193
"2011-04-01",224.098
"2011-05-01",225.295
"2011-06-01",225.857
"2011-07-01",227.178
"2011-08-01",228.492
"2011-09-01",229.927
"2011-10-01",229.992
"2011-11-01",229.947
"2011-12-01",230.424
"2012-01-01",230.948
"2012-02-01",230.612
"2012-03-01",231.051
"2012-04-01",231.397
"2012-05-01",231.32
"2012-06-01",231.713
"2012-07-01",231.658
"2012-08-01",231.853
"2012-09-01",231.789
"2012-10-01",232.398
"2012-11-01",232.883
"2012-12-01",233.374
"2013-01-01",233.696
"2013-02-01",233.526
"2013-03-01",233.58
"2013-04-01",233.776
"2013-05-01",233.184
"2013-06-01",233.809
"2013-07-01",233.893
"2013-08-01",234.073
"2013-09-01",234.04
"2013-10-01",234.219
"2013-11-01",234.144
"2013-12-01",234.318
"2014-01-01",234.722
"2014-02-01",235.781
"2014-03-01",237.055
"2014-04-01",237.942
"2014-05-01",239.611
"2014-06-01",239.682
"2014-07-01",240.154
"2014-08-01",240.692
"2014-09-01",241.328
"2014-10-01",241.62
"2014-11-01",241.912
"2014-12-01",242.893
"2015-01-01",242.553
"2015-02-01",242.598
"2015-03-01",241.633
"2015-04-01",241.106
"2015-05-01",241.107
"2015-06-01",241.922
"2015-07-01",242.25
"2015-08-01",242.864
"2015-09-01",243.198
"2015-10-01",243.284
"2015-11-01",242.606
"2015-12-01",241.88
"2016-01-01",241.558
"2016-02-01",241.741
"2016-03-01",240.414
"2016-04-01",240.341
"2016-05-01",239.348
"2016-06-01",238.763
"2016-07-01",238.38
"2016-08-01",238.133
"2016-09-01",237.88
"2016-10-01",237.714
"2016-11-01",237.438
"2016-12-01",237.147
"2017-01-01",237.072
"2017-02-01",237.824
"2017-03-01",238.387
"2017-04-01",238.568
"2017-05-01",238.893
"2017-06-01",238.494
"2017-07-01",238.904
"2017-08-01",238.804
"2017-09-01",238.852
"2017-10-01",239.02
"2017-11-01",238.94
"2017-12-01",239.371
"2018-01-01",239.854
"2018-02-01",239.187
"2018-03-01",239.149
"2018-04-01",239.541
"2018-05-01",238.884
"2018-06-01",239.048
"2018-07-01",239.565
"2018-08-01",239.795
"2018-09-01",239.967
"2018-10-01",239.558
"2018-11-01",240.227
"2018-12-01",241.137
"2019-01-01",241.581
"2019-02-01",242.111
"2019-03-01",242.482
"2019-04-01",241.219
"2019-05-01",241.642
"2019-06-01",241.214
"2019-07-01",240.988
"2019-08-01",240.943
"2019-09-01",241.409
"2019-10-01",241.999
"2019-11-01",242.726
"2019-12-01",242.887
"2020-01-01",243.511
"2020-02-01",244.2
"2020-03-01",245.017
"2020-04-01",251.063
"2020-05-01",253.23
"2020-06-01",254.674
"2020-07-01",252.003
"2020-08-01",252.148
"2020-09-01",251.166
"2020-10-01",251.641
"2020-11-01",251.365
"2020-12-01",252.536
"2021-01-01",252.541
"2021-02-01",252.822
"2021-03-01",252.933
"2021-04-01",254.125
"2021-05-01",255.043
"2021-06-01",257.058
"2021-07-01",258.491
"2021-08-01",259.613
"2021-09-01",262.459
"2021-10-01",265.084
"2021-11-01",267.473
"2021-12-01",268.985
"2022-01-01",271.176
"2022-02-01",274.728
"2022-03-01",278.333
"2022-04-01",281.593
"2022-05-01",285.522
"2022-06-01",288.568
"2022-07-01",292.455
"2022-08-01",294.884
"2022-09-01",296.403
"2022-10-01",297.966
"2022-11-01",299.449
"2022-12-01",300.576
"2023-01-01",301.676
"2023-02-01",302.444
"2023-03-01",301.467
"2023-04-01",301.811
"2023-05-01",302.184
"2023-06-01",302.057
"2023-07-01",302.984
"2023-08-01",303.631
"2023-09-01",303.449
"2023-10-01",304.366
"2023-11-01",304.332
"2023-12-01",304.505
"2024-01-01",305.187
"2024-02-01",305.432
"2024-03-01",305.01
"2024-04-01",305.354
"2024-05-01",305.414
"2024-06-01",305.582
"2024-07-01",306.285
"2024-08-01",306.399
"2024-09-01",307.258
"2024-10-01",307.867
"2024-11-01",309.093
"2024-12-01",309.767
"2025-01-01",310.817
"2025-02-01",310.955
"2025-03-01",312.154
"2025-04-01",311.44
"2025-05-01",312.296
"2025-06-01",312.982
"2025-07-01",313.035
"2025-08-01",314.647
"2025-09-01",315.54
"2025-11-01",315
"2025-12-01",316.982
"2026-01-01",317.589
"2026-02-01",318.985
"2026-03-01",318.462
"2026-04-01",320.633
"2026-05-01",320.836
"2026-06-01",321.446
"2026-07-01",321.216
